participant_id,group,session_num,condition_code,condition_label,with_reciprocity,start_time,end_time,duration_sec,total_turns,user_turns,robot_turns,user_initiated_goodbye,peak_vad_level,conversation_file,researcher_notes
P01,G1,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-05 11:16:02,2026-03-05 11:16:17,15,1,0,1,no,0,P01_G1_S1_NOVICE_20260305_1116.txt,
P01,G1,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-05 11:25:36,2026-03-05 11:27:30,114,6,1,5,no,2832,P01_G1_S1_NOVICE_20260305_1125.txt,
P02,G2,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-05 12:30:00,2026-03-05 12:33:00,180,16,7,9,yes,4157,P02_G2_S1_NOVICE_20260305_1230.txt,Reconstructed from robot console log - GUI session not started
P03,G1,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-05 14:34:45,2026-03-05 14:37:32,167,5,1,4,no,3999,P03_G1_S1_NOVICE_20260305_1434.txt,
P03,G1,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-05 16:37:07,2026-03-05 16:44:25,439,8,2,6,no,3735,P03_G1_S1_NOVICE_20260305_1637.txt,
P03,G1,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-05 16:44:34,2026-03-05 16:49:47,313,25,8,17,no,4793,P03_G1_S1_NOVICE_20260305_1644.txt,
P04,G2,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-05 17:45:22,2026-03-05 18:01:42,980,46,21,25,no,6862,P04_G2_S1_NOVICE_20260305_1745.txt,
P05,G1,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-05 19:08:59,2026-03-05 19:12:46,227,13,2,11,no,4875,P05_G1_S1_NOVICE_20260305_1908.txt,
P06,G2,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-05 19:40:08,2026-03-05 19:43:15,187,12,2,10,no,2504,P06_G2_S1_NOVICE_20260305_1940.txt,
P07,G1,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-06 11:12:59,2026-03-06 11:32:42,1183,20,5,15,no,4601,P07_G1_S1_NOVICE_20260306_1112.txt,
P01,G1,2,REMEMBER,"REMEMBER (Memory active, with reciprocity)",WR,2026-03-06 12:41:14,2026-03-06 12:44:18,183,5,1,4,no,3133,P01_G1_S2_REMEMBER_20260306_1241.txt,
P02,G2,2,NO-REMEMBER,"NO-REMEMBER (No memory, no reciprocity (control))",WOR,2026-03-06 12:56:17,2026-03-06 13:01:00,283,13,5,8,no,1957,P02_G2_S2_NO-REMEMBER_20260306_1256.txt,
P01,G1,2,REMEMBER,"REMEMBER (Memory active, with reciprocity)",WR,2026-03-06 13:03:31,2026-03-06 13:04:40,70,0,0,0,no,0,P01_G1_S2_REMEMBER_20260306_1303.txt,
P01,G1,2,REMEMBER,"REMEMBER (Memory active, with reciprocity)",WR,2026-03-06 13:05:51,2026-03-06 13:22:18,987,37,18,19,no,9521,P01_G1_S2_REMEMBER_20260306_1305.txt,
P09,G1,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-06 13:27:07,2026-03-06 13:34:49,462,18,6,12,no,3854,P09_G1_S1_NOVICE_20260306_1327.txt,
P06,G2,2,NO-REMEMBER,"NO-REMEMBER (No memory, no reciprocity (control))",WOR,2026-03-06 14:03:18,2026-03-06 14:09:00,341,17,6,11,no,1856,P06_G2_S2_NO-REMEMBER_20260306_1403.txt,
P03,G1,2,REMEMBER,"REMEMBER (Memory active, with reciprocity)",WR,2026-03-06 15:31:56,2026-03-06 16:17:05,2709,9,4,5,no,4434,P03_G1_S2_REMEMBER_20260306_1531.txt,
P07,G1,2,REMEMBER,"REMEMBER (Memory active, with reciprocity)",WR,2026-03-06 16:23:29,2026-03-06 16:30:07,398,19,9,10,no,2975,P07_G1_S2_REMEMBER_20260306_1623.txt,
P05,G1,2,REMEMBER,"REMEMBER (Memory active, with reciprocity)",WR,2026-03-06 20:15:17,2026-03-06 20:31:35,978,40,18,22,no,4973,P05_G1_S2_REMEMBER_20260306_2015.txt,
P08,G2,2,NO-REMEMBER,"NO-REMEMBER (No memory, no reciprocity (control))",WOR,2026-03-06 20:44:52,2026-03-06 20:52:39,466,10,2,8,no,3212,P08_G2_S2_NO-REMEMBER_20260306_2044.txt,
P10,G2,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-09 18:58:16,2026-03-09 19:07:32,557,8,2,6,no,5011,P10_G2_S1_NOVICE_20260309_1858.txt,
P11,G1,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-09 19:17:01,2026-03-09 19:18:30,89,4,0,4,no,6750,P11_G1_S1_NOVICE_20260309_1917.txt,
P11,G1,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-09 19:19:34,2026-03-09 19:23:35,241,6,1,5,no,3680,P11_G1_S1_NOVICE_20260309_1919.txt,
P10,G2,2,NO-REMEMBER,"NO-REMEMBER (No memory, no reciprocity (control))",WOR,2026-03-09 19:33:41,2026-03-09 19:37:56,255,13,5,8,no,8785,P10_G2_S2_NO-REMEMBER_20260309_1933.txt,
P12,G2,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-10 15:22:42,2026-03-10 15:24:49,127,5,0,5,no,6833,P12_G2_S1_NOVICE_20260310_1522.txt,
P12,G2,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-10 15:26:23,2026-03-10 15:27:54,91,4,0,4,no,7798,P12_G2_S1_NOVICE_20260310_1526.txt,
P12,G2,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-10 15:33:17,2026-03-10 15:40:29,432,22,8,14,no,12123,P12_G2_S1_NOVICE_20260310_1533.txt,
P13,G2,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-10 15:46:51,2026-03-10 15:52:21,330,23,8,15,no,12356,P13_G2_S1_NOVICE_20260310_1546.txt,
P14,G2,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-10 16:00:56,2026-03-10 16:06:01,304,17,6,11,no,11407,P14_G2_S1_NOVICE_20260310_1600.txt,
P15,G1,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-10 16:22:57,2026-03-10 16:26:52,235,12,4,8,no,2814,P15_G1_S1_NOVICE_20260310_1622.txt,
P15,G1,2,REMEMBER,"REMEMBER (Memory active, with reciprocity)",WR,2026-03-10 17:13:31,2026-03-10 17:17:10,219,2,0,2,no,3089,P15_G1_S2_REMEMBER_20260310_1713.txt,
P15,G1,2,REMEMBER,"REMEMBER (Memory active, with reciprocity)",WR,2026-03-10 17:17:17,2026-03-10 17:28:01,644,33,16,17,no,7269,P15_G1_S2_REMEMBER_20260310_1717.txt,
P16,G2,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-10 17:36:07,2026-03-10 17:37:46,99,5,0,5,no,8033,P16_G2_S1_NOVICE_20260310_1736.txt,
P16,G2,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-10 17:38:24,2026-03-10 17:42:02,218,14,4,10,no,9537,P16_G2_S1_NOVICE_20260310_1738.txt,
P17,G1,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-10 17:44:08,2026-03-10 18:08:57,1489,18,6,12,no,14709,P17_G1_S1_NOVICE_20260310_1744.txt,
P11,G1,2,REMEMBER,"REMEMBER (Memory active, with reciprocity)",WR,2026-03-10 18:09:33,2026-03-10 18:14:51,318,16,7,9,no,10497,P11_G1_S2_REMEMBER_20260310_1809.txt,
P18,G2,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-10 18:24:35,2026-03-10 18:24:55,20,0,0,0,no,0,P18_G2_S1_NOVICE_20260310_1824.txt,
P18,G2,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-10 18:25:16,2026-03-10 18:31:51,394,19,7,12,no,10981,P18_G2_S1_NOVICE_20260310_1825.txt,
P19,G1,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-10 18:58:39,2026-03-10 19:03:37,298,14,5,9,no,7805,P19_G1_S1_NOVICE_20260310_1858.txt,
P14,G2,2,NO-REMEMBER,"NO-REMEMBER (No memory, no reciprocity (control))",WOR,2026-03-10 19:11:38,2026-03-10 19:12:08,30,2,0,2,no,76,P14_G2_S2_NO-REMEMBER_20260310_1911.txt,
P14,G2,2,NO-REMEMBER,"NO-REMEMBER (No memory, no reciprocity (control))",WOR,2026-03-10 19:12:55,2026-03-10 19:15:30,155,4,0,4,no,16503,P14_G2_S2_NO-REMEMBER_20260310_1912.txt,
P14,G2,2,NO-REMEMBER,"NO-REMEMBER (No memory, no reciprocity (control))",WOR,2026-03-10 19:15:43,2026-03-10 19:17:50,127,8,3,5,no,9456,P14_G2_S2_NO-REMEMBER_20260310_1915.txt,
P19,G1,2,REMEMBER,"REMEMBER (Memory active, with reciprocity)",WR,2026-03-10 19:26:23,2026-03-10 19:41:40,918,10,5,5,no,9784,P19_G1_S2_REMEMBER_20260310_1926.txt,
P20,G2,1,NOVICE,"NOVICE (First meeting, no memory, no reciprocity)",WOR,2026-03-10 19:46:17,2026-03-10 19:57:13,656,14,5,9,no,15915,P20_G2_S1_NOVICE_20260310_1946.txt,
